id,asset_id,machine_name,sensor_type,value,unit,timestamp
469,A100,Gas Compressor,flow_rate,236.65,m3/h,2026-03-01 04:17:04
1319,A400,Steam Turbine,temperature,39.7,C,2026-03-01 04:21:53
1236,A400,Steam Turbine,temperature,34.34,C,2026-03-01 04:26:35
1020,A400,Steam Turbine,flow_rate,245.33,m3/h,2026-03-01 04:26:58
936,A300,Water Pump,flow_rate,256.53,m3/h,2026-03-01 04:44:16
1909,A200,Heat Exchanger,flow_rate,226.73,m3/h,2026-03-01 04:45:15
1697,A100,Gas Compressor,pressure,7.87,bar,2026-03-01 04:46:50
1718,A300,Water Pump,pressure,9.64,bar,2026-03-01 04:50:55
1003,A100,Gas Compressor,temperature,72.94,C,2026-03-01 04:58:41
1976,A200,Heat Exchanger,pressure,8.57,bar,2026-03-01 05:00:05
783,A200,Heat Exchanger,pressure,11.73,bar,2026-03-01 05:00:55
1403,A200,Heat Exchanger,pressure,4.04,bar,2026-03-01 05:04:49
1710,A400,Steam Turbine,pressure,11.54,bar,2026-03-01 05:08:00
344,A300,Water Pump,flow_rate,222.74,m3/h,2026-03-01 05:08:20
1831,A300,Water Pump,flow_rate,269.17,m3/h,2026-03-01 05:09:38
277,A200,Heat Exchanger,pressure,4.01,bar,2026-03-01 05:11:41
995,A400,Steam Turbine,temperature,33.95,C,2026-03-01 05:13:12
793,A200,Heat Exchanger,pressure,7.2,bar,2026-03-01 05:13:55
1489,A400,Steam Turbine,temperature,62.14,C,2026-03-01 05:15:02
357,A100,Gas Compressor,flow_rate,200.97,m3/h,2026-03-01 05:19:29
862,A400,Steam Turbine,flow_rate,229.38,m3/h,2026-03-01 05:26:50
1573,A200,Heat Exchanger,pressure,5.52,bar,2026-03-01 05:27:40
1654,A200,Heat Exchanger,temperature,51.6,C,2026-03-01 05:27:51
1051,A300,Water Pump,pressure,5.89,bar,2026-03-01 05:31:27
1126,A300,Water Pump,pressure,8.27,bar,2026-03-01 05:32:04
1610,A400,Steam Turbine,pressure,7.9,bar,2026-03-01 05:38:38
137,A300,Water Pump,flow_rate,216.05,m3/h,2026-03-01 05:40:27
910,A400,Steam Turbine,flow_rate,223.56,m3/h,2026-03-01 05:40:46
485,A200,Heat Exchanger,flow_rate,276.82,m3/h,2026-03-01 05:41:17
1277,A200,Heat Exchanger,flow_rate,204.62,m3/h,2026-03-01 05:42:31
1582,A400,Steam Turbine,flow_rate,243.25,m3/h,2026-03-01 05:48:33
69,A200,Heat Exchanger,pressure,8.43,bar,2026-03-01 05:49:49
1393,A300,Water Pump,flow_rate,226.72,m3/h,2026-03-01 05:50:32
1611,A300,Water Pump,temperature,38.76,C,2026-03-01 05:52:28
1224,A100,Gas Compressor,flow_rate,284.6,m3/h,2026-03-01 05:53:32
313,A400,Steam Turbine,pressure,11.08,bar,2026-03-01 05:54:22
1860,A300,Water Pump,flow_rate,284.3,m3/h,2026-03-01 05:56:29
1147,A100,Gas Compressor,temperature,45.92,C,2026-03-01 05:59:21
1625,A300,Water Pump,flow_rate,207.59,m3/h,2026-03-01 05:59:57
1827,A300,Water Pump,temperature,53.13,C,2026-03-01 06:00:45
732,A400,Steam Turbine,pressure,6.14,bar,2026-03-01 06:01:45
39,A400,Steam Turbine,flow_rate,289.6,m3/h,2026-03-01 06:02:32
668,A400,Steam Turbine,pressure,8.8,bar,2026-03-01 06:03:15
1006,A100,Gas Compressor,temperature,61.12,C,2026-03-01 06:05:00
404,A300,Water Pump,temperature,54.25,C,2026-03-01 06:06:54
239,A400,Steam Turbine,flow_rate,261.92,m3/h,2026-03-01 06:16:56
1131,A300,Water Pump,temperature,47.4,C,2026-03-01 06:17:36
1469,A300,Water Pump,flow_rate,243.91,m3/h,2026-03-01 06:21:14
188,A100,Gas Compressor,pressure,8.24,bar,2026-03-01 06:21:33
1921,A100,Gas Compressor,flow_rate,273.55,m3/h,2026-03-01 06:28:02
115,A200,Heat Exchanger,pressure,10.64,bar,2026-03-01 06:30:17
1433,A200,Heat Exchanger,pressure,6.37,bar,2026-03-01 06:34:52
1818,A100,Gas Compressor,pressure,5.58,bar,2026-03-01 06:38:57
544,A400,Steam Turbine,temperature,35.61,C,2026-03-01 06:44:23
954,A400,Steam Turbine,temperature,74.07,C,2026-03-01 06:48:24
803,A400,Steam Turbine,pressure,11.62,bar,2026-03-01 06:51:48
702,A100,Gas Compressor,temperature,65.52,C,2026-03-01 06:56:27
1172,A100,Gas Compressor,temperature,31.84,C,2026-03-01 06:59:12
1127,A200,Heat Exchanger,pressure,10.35,bar,2026-03-01 07:00:22
152,A300,Water Pump,temperature,68.55,C,2026-03-01 07:00:47
987,A400,Steam Turbine,flow_rate,293.91,m3/h,2026-03-01 07:10:09
78,A100,Gas Compressor,flow_rate,288.16,m3/h,2026-03-01 07:11:47
1899,A300,Water Pump,pressure,7.34,bar,2026-03-01 07:11:49
488,A400,Steam Turbine,flow_rate,251.71,m3/h,2026-03-01 07:25:04
230,A100,Gas Compressor,temperature,68.23,C,2026-03-01 07:30:34
562,A300,Water Pump,temperature,52.84,C,2026-03-01 07:30:55
1879,A100,Gas Compressor,temperature,45.86,C,2026-03-01 07:31:14
805,A200,Heat Exchanger,flow_rate,227.92,m3/h,2026-03-01 07:35:20
1716,A400,Steam Turbine,flow_rate,287.48,m3/h,2026-03-01 07:36:30
212,A300,Water Pump,pressure,8.78,bar,2026-03-01 07:38:56
1841,A100,Gas Compressor,temperature,38.81,C,2026-03-01 07:44:16
1473,A100,Gas Compressor,temperature,56.6,C,2026-03-01 07:57:40
1494,A100,Gas Compressor,flow_rate,205.86,m3/h,2026-03-01 07:58:59
439,A400,Steam Turbine,pressure,4.25,bar,2026-03-01 08:16:25
1578,A400,Steam Turbine,temperature,35.27,C,2026-03-01 08:17:53
1043,A300,Water Pump,flow_rate,230.9,m3/h,2026-03-01 08:23:10
243,A200,Heat Exchanger,pressure,7.87,bar,2026-03-01 08:25:06
450,A100,Gas Compressor,pressure,5.35,bar,2026-03-01 08:27:05
879,A100,Gas Compressor,pressure,5.72,bar,2026-03-01 08:27:27
709,A400,Steam Turbine,pressure,5.05,bar,2026-03-01 08:28:24
1751,A300,Water Pump,flow_rate,225.72,m3/h,2026-03-01 08:29:57
114,A400,Steam Turbine,flow_rate,224.54,m3/h,2026-03-01 08:37:55
452,A200,Heat Exchanger,flow_rate,256.93,m3/h,2026-03-01 08:43:17
966,A100,Gas Compressor,flow_rate,293.07,m3/h,2026-03-01 08:43:54
1553,A200,Heat Exchanger,flow_rate,249.52,m3/h,2026-03-01 08:44:15
1421,A400,Steam Turbine,temperature,74.38,C,2026-03-01 08:48:43
8,A100,Gas Compressor,pressure,7.79,bar,2026-03-01 08:52:01
1778,A100,Gas Compressor,flow_rate,274.26,m3/h,2026-03-01 08:52:03
1426,A300,Water Pump,temperature,43.74,C,2026-03-01 08:54:45
1111,A200,Heat Exchanger,temperature,37.79,C,2026-03-01 08:58:34
579,A100,Gas Compressor,temperature,71.05,C,2026-03-01 09:07:49
223,A400,Steam Turbine,flow_rate,289.07,m3/h,2026-03-01 09:08:11
525,A200,Heat Exchanger,temperature,45.44,C,2026-03-01 09:12:10
698,A400,Steam Turbine,temperature,58.93,C,2026-03-01 09:14:52
1188,A300,Water Pump,temperature,44.66,C,2026-03-01 09:16:57
503,A100,Gas Compressor,flow_rate,264.55,m3/h,2026-03-01 09:29:22
678,A400,Steam Turbine,temperature,52.73,C,2026-03-01 09:33:15
1926,A100,Gas Compressor,temperature,55.38,C,2026-03-01 09:42:53
1550,A100,Gas Compressor,temperature,63.17,C,2026-03-01 09:43:23
617,A400,Steam Turbine,pressure,11.2,bar,2026-03-01 09:45:10
129,A200,Heat Exchanger,temperature,64.07,C,2026-03-01 09:47:15
1252,A200,Heat Exchanger,temperature,58.3,C,2026-03-01 09:49:17
100,A300,Water Pump,temperature,54.61,C,2026-03-01 09:50:28
774,A400,Steam Turbine,flow_rate,269.54,m3/h,2026-03-01 09:56:19
1627,A400,Steam Turbine,temperature,72.94,C,2026-03-01 10:00:54
932,A200,Heat Exchanger,pressure,4.12,bar,2026-03-01 10:05:16
1713,A300,Water Pump,temperature,48.21,C,2026-03-01 10:08:55
1379,A100,Gas Compressor,pressure,10.56,bar,2026-03-01 10:13:49
31,A300,Water Pump,pressure,8.52,bar,2026-03-01 10:17:53
329,A400,Steam Turbine,flow_rate,288.86,m3/h,2026-03-01 10:20:19
1691,A300,Water Pump,temperature,44.79,C,2026-03-01 10:21:29
506,A100,Gas Compressor,flow_rate,296.57,m3/h,2026-03-01 10:22:10
1973,A200,Heat Exchanger,temperature,76.11,C,2026-03-01 10:25:04
265,A200,Heat Exchanger,pressure,4.76,bar,2026-03-01 10:28:28
187,A400,Steam Turbine,pressure,8.1,bar,2026-03-01 10:28:54
1665,A300,Water Pump,pressure,4.9,bar,2026-03-01 10:31:00
576,A400,Steam Turbine,flow_rate,231.54,m3/h,2026-03-01 10:32:50
121,A300,Water Pump,flow_rate,269.7,m3/h,2026-03-01 10:35:11
1581,A300,Water Pump,temperature,58.86,C,2026-03-01 10:38:33
1995,A200,Heat Exchanger,flow_rate,289.61,m3/h,2026-03-01 10:45:18
154,A300,Water Pump,temperature,79.52,C,2026-03-01 10:47:50
1511,A200,Heat Exchanger,flow_rate,261.7,m3/h,2026-03-01 10:53:18
1612,A400,Steam Turbine,flow_rate,220.84,m3/h,2026-03-01 10:54:43
156,A400,Steam Turbine,temperature,48.41,C,2026-03-01 10:55:08
87,A400,Steam Turbine,temperature,70.38,C,2026-03-01 10:55:35
217,A300,Water Pump,pressure,5.5,bar,2026-03-01 11:03:09
1717,A400,Steam Turbine,flow_rate,244.4,m3/h,2026-03-01 11:12:13
970,A200,Heat Exchanger,temperature,50.98,C,2026-03-01 11:12:38
1010,A300,Water Pump,pressure,5.08,bar,2026-03-01 11:13:32
1053,A200,Heat Exchanger,temperature,47.59,C,2026-03-01 11:13:57
209,A200,Heat Exchanger,flow_rate,204.3,m3/h,2026-03-01 11:18:23
1618,A300,Water Pump,pressure,10.42,bar,2026-03-01 11:24:08
1312,A300,Water Pump,pressure,9.79,bar,2026-03-01 11:28:13
1617,A400,Steam Turbine,flow_rate,274.7,m3/h,2026-03-01 11:29:57
615,A100,Gas Compressor,flow_rate,280.3,m3/h,2026-03-01 11:35:25
586,A200,Heat Exchanger,flow_rate,241.73,m3/h,2026-03-01 11:35:41
1577,A100,Gas Compressor,temperature,60.38,C,2026-03-01 11:37:46
179,A100,Gas Compressor,pressure,11.74,bar,2026-03-01 11:48:26
1500,A100,Gas Compressor,temperature,77.18,C,2026-03-01 11:59:36
46,A400,Steam Turbine,temperature,53.51,C,2026-03-01 12:01:35
1804,A100,Gas Compressor,flow_rate,230.6,m3/h,2026-03-01 12:02:08
1382,A100,Gas Compressor,temperature,52.89,C,2026-03-01 12:08:06
1156,A300,Water Pump,flow_rate,259.57,m3/h,2026-03-01 12:13:32
1931,A300,Water Pump,flow_rate,277.68,m3/h,2026-03-01 12:19:52
227,A200,Heat Exchanger,temperature,49.86,C,2026-03-01 12:25:09
489,A400,Steam Turbine,temperature,62.91,C,2026-03-01 12:25:59
499,A200,Heat Exchanger,temperature,34.19,C,2026-03-01 12:26:01
1901,A300,Water Pump,temperature,67.37,C,2026-03-01 12:32:05
1903,A400,Steam Turbine,flow_rate,258.01,m3/h,2026-03-01 12:36:12
327,A300,Water Pump,temperature,61.06,C,2026-03-01 12:40:10
864,A200,Heat Exchanger,temperature,68.86,C,2026-03-01 12:45:53
627,A300,Water Pump,pressure,8.87,bar,2026-03-01 12:48:37
1424,A100,Gas Compressor,temperature,67.89,C,2026-03-01 13:06:32
433,A200,Heat Exchanger,flow_rate,236.95,m3/h,2026-03-01 13:13:48
262,A100,Gas Compressor,temperature,37.67,C,2026-03-01 13:20:08
1766,A200,Heat Exchanger,pressure,11.73,bar,2026-03-01 13:20:22
1388,A200,Heat Exchanger,flow_rate,280.52,m3/h,2026-03-01 13:22:53
350,A100,Gas Compressor,pressure,8.83,bar,2026-03-01 13:29:39
623,A100,Gas Compressor,temperature,48.88,C,2026-03-01 13:32:04
1450,A200,Heat Exchanger,temperature,48.82,C,2026-03-01 13:42:43
715,A400,Steam Turbine,pressure,6.48,bar,2026-03-01 13:45:07
812,A200,Heat Exchanger,pressure,6.21,bar,2026-03-01 13:45:22
741,A300,Water Pump,flow_rate,276.92,m3/h,2026-03-01 13:49:23
1177,A400,Steam Turbine,temperature,48.74,C,2026-03-01 13:50:25
1324,A300,Water Pump,temperature,63.8,C,2026-03-01 13:58:37
782,A300,Water Pump,temperature,58.07,C,2026-03-01 14:03:21
231,A200,Heat Exchanger,temperature,34.1,C,2026-03-01 14:04:39
417,A400,Steam Turbine,pressure,5.33,bar,2026-03-01 14:10:32
670,A100,Gas Compressor,temperature,70.48,C,2026-03-01 14:11:39
1695,A400,Steam Turbine,flow_rate,272.69,m3/h,2026-03-01 14:11:52
632,A200,Heat Exchanger,pressure,7.41,bar,2026-03-01 14:18:03
515,A200,Heat Exchanger,pressure,4.64,bar,2026-03-01 14:20:13
1830,A400,Steam Turbine,flow_rate,271.89,m3/h,2026-03-01 14:22:44
825,A100,Gas Compressor,temperature,58.89,C,2026-03-01 14:27:06
1636,A100,Gas Compressor,temperature,50.05,C,2026-03-01 14:27:16
708,A400,Steam Turbine,flow_rate,237.02,m3/h,2026-03-01 14:28:36
99,A200,Heat Exchanger,pressure,11.69,bar,2026-03-01 14:31:20
359,A100,Gas Compressor,pressure,6.89,bar,2026-03-01 14:32:10
1729,A400,Steam Turbine,pressure,6.21,bar,2026-03-01 14:35:44
1558,A100,Gas Compressor,pressure,5.71,bar,2026-03-01 14:54:18
448,A300,Water Pump,flow_rate,242.49,m3/h,2026-03-01 14:57:21
1704,A300,Water Pump,flow_rate,260.94,m3/h,2026-03-01 14:58:35
1070,A300,Water Pump,pressure,10.61,bar,2026-03-01 15:01:32
1632,A400,Steam Turbine,pressure,4.5,bar,2026-03-01 15:01:47
547,A100,Gas Compressor,pressure,4.92,bar,2026-03-01 15:05:34
429,A200,Heat Exchanger,temperature,66.01,C,2026-03-01 15:10:17
309,A200,Heat Exchanger,pressure,8.71,bar,2026-03-01 15:13:53
1584,A200,Heat Exchanger,temperature,31.88,C,2026-03-01 15:15:20
1910,A100,Gas Compressor,pressure,5.75,bar,2026-03-01 15:19:18
530,A200,Heat Exchanger,temperature,76.88,C,2026-03-01 15:24:59
1613,A400,Steam Turbine,flow_rate,202.37,m3/h,2026-03-01 15:25:39
929,A100,Gas Compressor,flow_rate,261.47,m3/h,2026-03-01 15:25:53
763,A300,Water Pump,pressure,8.65,bar,2026-03-01 15:28:20
1241,A100,Gas Compressor,flow_rate,277.06,m3/h,2026-03-01 15:29:42
1767,A100,Gas Compressor,flow_rate,264.0,m3/h,2026-03-01 15:35:07
314,A200,Heat Exchanger,flow_rate,212.77,m3/h,2026-03-01 15:35:31
116,A100,Gas Compressor,flow_rate,227.03,m3/h,2026-03-01 15:35:32
500,A400,Steam Turbine,flow_rate,291.72,m3/h,2026-03-01 15:38:34
1231,A400,Steam Turbine,pressure,11.07,bar,2026-03-01 15:38:59
1780,A300,Water Pump,temperature,61.81,C,2026-03-01 15:40:23
228,A300,Water Pump,flow_rate,244.81,m3/h,2026-03-01 15:41:27
1918,A300,Water Pump,temperature,38.23,C,2026-03-01 15:41:52
737,A200,Heat Exchanger,flow_rate,269.6,m3/h,2026-03-01 15:43:01
1157,A200,Heat Exchanger,temperature,70.23,C,2026-03-01 15:51:17
1969,A200,Heat Exchanger,temperature,69.79,C,2026-03-01 15:57:47
991,A400,Steam Turbine,temperature,70.18,C,2026-03-01 15:57:56
475,A300,Water Pump,temperature,64.38,C,2026-03-01 15:58:35
1162,A300,Water Pump,flow_rate,256.63,m3/h,2026-03-01 15:58:37
1705,A100,Gas Compressor,temperature,77.13,C,2026-03-01 16:09:44
470,A300,Water Pump,flow_rate,283.1,m3/h,2026-03-01 16:21:22
1849,A200,Heat Exchanger,temperature,63.15,C,2026-03-01 16:22:50
185,A400,Steam Turbine,temperature,76.21,C,2026-03-01 16:32:10
997,A300,Water Pump,flow_rate,243.26,m3/h,2026-03-01 16:41:35
680,A300,Water Pump,flow_rate,268.63,m3/h,2026-03-01 16:44:56
1785,A100,Gas Compressor,pressure,11.06,bar,2026-03-01 16:57:15
351,A100,Gas Compressor,pressure,10.28,bar,2026-03-01 17:02:12
1781,A200,Heat Exchanger,temperature,70.19,C,2026-03-01 17:11:17
305,A100,Gas Compressor,temperature,70.6,C,2026-03-01 17:13:33
895,A200,Heat Exchanger,pressure,10.56,bar,2026-03-01 17:23:29
192,A300,Water Pump,pressure,6.4,bar,2026-03-01 17:27:14
569,A400,Steam Turbine,pressure,4.16,bar,2026-03-01 17:33:48
916,A200,Heat Exchanger,flow_rate,295.81,m3/h,2026-03-01 17:39:01
968,A400,Steam Turbine,temperature,42.69,C,2026-03-01 17:51:05
841,A200,Heat Exchanger,flow_rate,294.06,m3/h,2026-03-01 17:51:52
1535,A300,Water Pump,pressure,11.66,bar,2026-03-01 17:52:05
647,A400,Steam Turbine,temperature,33.71,C,2026-03-01 17:54:36
1600,A100,Gas Compressor,temperature,55.17,C,2026-03-01 18:04:56
255,A400,Steam Turbine,temperature,48.25,C,2026-03-01 18:05:12
207,A200,Heat Exchanger,flow_rate,250.27,m3/h,2026-03-01 18:07:56
1124,A400,Steam Turbine,temperature,42.4,C,2026-03-01 18:08:04
1129,A200,Heat Exchanger,pressure,7.5,bar,2026-03-01 18:10:44
1381,A200,Heat Exchanger,pressure,10.74,bar,2026-03-01 18:11:55
1684,A100,Gas Compressor,pressure,8.23,bar,2026-03-01 18:20:26
626,A200,Heat Exchanger,temperature,40.21,C,2026-03-01 18:28:53
1299,A200,Heat Exchanger,pressure,4.63,bar,2026-03-01 18:41:21
216,A300,Water Pump,pressure,11.26,bar,2026-03-01 18:47:54
1814,A300,Water Pump,pressure,11.53,bar,2026-03-01 18:55:51
125,A200,Heat Exchanger,pressure,7.93,bar,2026-03-01 18:56:59
370,A100,Gas Compressor,flow_rate,224.37,m3/h,2026-03-01 19:01:54
1171,A100,Gas Compressor,pressure,7.47,bar,2026-03-01 19:02:19
980,A400,Steam Turbine,temperature,75.8,C,2026-03-01 19:12:08
1859,A300,Water Pump,flow_rate,226.58,m3/h,2026-03-01 19:17:07
815,A300,Water Pump,pressure,6.9,bar,2026-03-01 19:24:31
484,A100,Gas Compressor,pressure,8.11,bar,2026-03-01 19:25:19
1843,A300,Water Pump,pressure,7.13,bar,2026-03-01 19:27:49
430,A200,Heat Exchanger,temperature,51.15,C,2026-03-01 19:28:49
642,A100,Gas Compressor,temperature,31.49,C,2026-03-01 19:32:12
1429,A200,Heat Exchanger,pressure,9.39,bar,2026-03-01 19:34:46
282,A100,Gas Compressor,flow_rate,267.57,m3/h,2026-03-01 19:36:17
535,A400,Steam Turbine,temperature,52.14,C,2026-03-01 19:38:51
371,A200,Heat Exchanger,temperature,41.79,C,2026-03-01 19:40:48
1287,A400,Steam Turbine,pressure,5.26,bar,2026-03-01 19:50:21
13,A100,Gas Compressor,flow_rate,232.41,m3/h,2026-03-01 19:52:37
426,A400,Steam Turbine,temperature,54.31,C,2026-03-01 19:54:45
366,A100,Gas Compressor,pressure,5.43,bar,2026-03-01 19:57:41
53,A400,Steam Turbine,flow_rate,209.96,m3/h,2026-03-01 19:58:12
1819,A300,Water Pump,flow_rate,236.68,m3/h,2026-03-01 19:59:31
1964,A400,Steam Turbine,flow_rate,294.94,m3/h,2026-03-01 20:09:35
391,A100,Gas Compressor,pressure,9.53,bar,2026-03-01 20:18:35
7,A100,Gas Compressor,temperature,68.91,C,2026-03-01 20:18:55
94,A100,Gas Compressor,pressure,6.3,bar,2026-03-01 20:32:09
1846,A200,Heat Exchanger,flow_rate,246.76,m3/h,2026-03-01 20:33:36
1011,A300,Water Pump,pressure,6.19,bar,2026-03-01 20:36:53
1520,A300,Water Pump,flow_rate,241.34,m3/h,2026-03-01 20:41:32
820,A300,Water Pump,pressure,11.71,bar,2026-03-01 20:41:49
463,A400,Steam Turbine,pressure,6.41,bar,2026-03-01 20:41:58
796,A400,Steam Turbine,temperature,46.14,C,2026-03-01 20:44:16
1446,A300,Water Pump,flow_rate,212.03,m3/h,2026-03-01 20:45:05
534,A100,Gas Compressor,temperature,72.15,C,2026-03-01 20:48:27
1152,A200,Heat Exchanger,flow_rate,247.69,m3/h,2026-03-01 20:51:10
587,A200,Heat Exchanger,temperature,49.86,C,2026-03-01 20:51:42
59,A300,Water Pump,pressure,4.4,bar,2026-03-01 20:58:43
1493,A200,Heat Exchanger,flow_rate,260.69,m3/h,2026-03-01 20:58:54
1161,A400,Steam Turbine,flow_rate,232.82,m3/h,2026-03-01 21:05:12
494,A300,Water Pump,pressure,8.39,bar,2026-03-01 21:05:34
574,A300,Water Pump,pressure,10.83,bar,2026-03-01 21:09:15
1283,A100,Gas Compressor,temperature,62.81,C,2026-03-01 21:12:27
1180,A100,Gas Compressor,temperature,77.93,C,2026-03-01 21:18:07
744,A400,Steam Turbine,pressure,5.8,bar,2026-03-01 21:24:02
1056,A300,Water Pump,pressure,11.49,bar,2026-03-01 21:25:05
477,A400,Steam Turbine,flow_rate,222.08,m3/h,2026-03-01 21:32:35
1637,A200,Heat Exchanger,flow_rate,257.62,m3/h,2026-03-01 21:34:33
1670,A100,Gas Compressor,flow_rate,241.05,m3/h,2026-03-01 21:38:05
1816,A200,Heat Exchanger,temperature,41.77,C,2026-03-01 21:41:02
780,A200,Heat Exchanger,pressure,6.11,bar,2026-03-01 21:42:45
1741,A300,Water Pump,temperature,63.04,C,2026-03-01 21:47:58
397,A300,Water Pump,pressure,4.96,bar,2026-03-01 21:49:47
713,A100,Gas Compressor,pressure,8.34,bar,2026-03-01 21:50:26
1942,A400,Steam Turbine,flow_rate,227.13,m3/h,2026-03-01 21:53:02
454,A400,Steam Turbine,pressure,7.81,bar,2026-03-01 22:01:23
109,A300,Water Pump,temperature,75.33,C,2026-03-01 22:03:23
1389,A100,Gas Compressor,flow_rate,221.96,m3/h,2026-03-01 22:04:18
1643,A200,Heat Exchanger,flow_rate,206.4,m3/h,2026-03-01 22:04:54
1875,A300,Water Pump,pressure,6.23,bar,2026-03-01 22:07:25
